C:\Users\Sehooni\anaconda3\envs\201701013\python.exe D:/딥러닝/201701013/Perceptron&MLP/MLP.py
0 0.6949870586395264
100 0.6926894187927246
200 0.6912915706634521
300 0.6822271347045898
400 0.5994603633880615
500 0.4515741765499115
600 0.3952004313468933
700 0.3759230673313141
800 0.36709243059158325
900 0.362179160118103
1000 0.3590916693210602
1100 0.3569871485233307
1200 0.35546740889549255
1300 0.35432183742523193
1400 0.35342928767204285
1500 0.3527153730392456
1600 0.35213202238082886
1700 0.3516468405723572
1800 0.35123735666275024
1900 0.3508872985839844
2000 0.3505847156047821
2100 0.3503207564353943
2200 0.3500884771347046
2300 0.34988266229629517
2400 0.3496989607810974
2500 0.3495340645313263
2600 0.3493853807449341
2700 0.349250465631485
2800 0.3491276502609253
2900 0.34901532530784607
3000 0.3489122688770294
3100 0.34881728887557983
3200 0.34872961044311523
3300 0.3486483693122864
3400 0.34857285022735596
3500 0.348502516746521
3600 0.3484368920326233
3700 0.34837549924850464
3800 0.3483179211616516
3900 0.34826382994651794
4000 0.3482128977775574
4100 0.3481649160385132
4200 0.3481195271015167
4300 0.3480767011642456
4400 0.3480360805988312
4500 0.3479975461959839
4600 0.3479610085487366
4700 0.34792619943618774
4800 0.3478930592536926
4900 0.34786149859428406
5000 0.3478313684463501
5100 0.3478025794029236
5200 0.34777510166168213
5300 0.3477487564086914
5400 0.3477235436439514
5500 0.34769928455352783
5600 0.3476760983467102
5700 0.3476538062095642
5800 0.34763237833976746
5900 0.34761178493499756
6000 0.34759196639060974
6100 0.34757283329963684
6200 0.34755444526672363
6300 0.3475366234779358
6400 0.34751954674720764
6500 0.3475029766559601
6600 0.3474869728088379
6700 0.3474714756011963
6800 0.34745651483535767
6900 0.347442090511322
7000 0.3474280834197998
7100 0.347414493560791
7200 0.34740132093429565
7300 0.3473885655403137
7400 0.34737613797187805
7500 0.3473641276359558
7600 0.34735244512557983
7700 0.3473411202430725
7800 0.34733009338378906
7900 0.34731942415237427
8000 0.3473089635372162
8100 0.347298800945282
8200 0.34728890657424927
8300 0.34727931022644043
8400 0.3472699820995331
8500 0.34726089239120483
8600 0.3472520112991333
8700 0.3472433090209961
8800 0.347234845161438
8900 0.347226619720459
9000 0.3472185730934143
9100 0.34721076488494873
9200 0.3472030758857727
9300 0.347195565700531
9400 0.3471882939338684
9500 0.347181111574173
9600 0.34717416763305664
9700 0.34716731309890747
9800 0.347160667181015
9900 0.3471541106700897
10000 0.34714773297309875

Hypothesis:  tensor([[6.2075e-04],
        [4.9971e-01],
        [9.9941e-01],
        [5.0026e-01]], device='cuda:0')
Correct:  tensor([[0.],
        [0.],
        [1.],
        [1.]], device='cuda:0')
Accuracy:  0.5

종료 코드 0(으)로 완료된 프로세스
