C:\Users\Sehooni\anaconda3\envs\201701013\python.exe D:/딥러닝/201701013/Perceptron&MLP/MLP.py
0 0.7697153687477112
100 0.6933854818344116
200 0.6932225227355957
300 0.6931154727935791
400 0.6930223703384399
500 0.6929389238357544
600 0.6928622722625732
700 0.6927899122238159
800 0.6927197575569153
900 0.6926499605178833
1000 0.6925787925720215
1100 0.6925048828125
1200 0.6924263834953308
1300 0.692341685295105
1400 0.6922487616539001
1500 0.6921454668045044
1600 0.6920294761657715
1700 0.6918975114822388
1800 0.6917457580566406
1900 0.6915699243545532
2000 0.691364049911499
2100 0.691120982170105
2200 0.6908313035964966
2300 0.6904832720756531
2400 0.690061092376709
2500 0.6895452737808228
2600 0.6889091730117798
2700 0.6881186962127686
2800 0.6871292591094971
2900 0.6858828067779541
3000 0.6843048930168152
3100 0.6823017597198486
3200 0.6797578930854797
3300 0.6765375137329102
3400 0.6724905967712402
3500 0.6674668788909912
3600 0.6613407135009766
3700 0.6540437340736389
3800 0.6455989480018616
3900 0.6361414194107056
4000 0.6259136199951172
4100 0.615230143070221
4200 0.6044236421585083
4300 0.5937885046005249
4400 0.5835434794425964
4500 0.5738134384155273
4600 0.5646288394927979
4700 0.5559325218200684
4800 0.5475826859474182
4900 0.5393416881561279
5000 0.5308412313461304
5100 0.5215106010437012
5200 0.5104693174362183
5300 0.49645406007766724
5400 0.47796788811683655
5500 0.45373085141181946
5600 0.42310646176338196
5700 0.3865004777908325
5800 0.34583932161331177
5900 0.30431637167930603
6000 0.26515209674835205
6100 0.2304365634918213
6200 0.20088553428649902
6300 0.176266610622406
6400 0.1559181809425354
6500 0.13908857107162476
6600 0.12509259581565857
6700 0.11336074769496918
6800 0.10343939065933228
6900 0.09497331082820892
7000 0.08768565207719803
7100 0.08136064559221268
7200 0.07582908868789673
7300 0.07095716148614883
7400 0.06663835793733597
7500 0.0627870038151741
7600 0.05933370068669319
7700 0.05622178688645363
7800 0.05340458080172539
7900 0.05084333196282387
8000 0.04850555583834648
8100 0.04636405408382416
8200 0.04439571499824524
8300 0.04258085787296295
8400 0.040902670472860336
8500 0.03934658318758011
8600 0.03790009766817093
8700 0.03655216842889786
8800 0.03529341518878937
8900 0.03411531820893288
9000 0.0330105721950531
9100 0.03197266161441803
9200 0.030995873734354973
9300 0.030074968934059143
9400 0.029205476865172386
9500 0.028383268043398857
9600 0.02760457433760166
9700 0.026866167783737183
9800 0.026165051385760307
9900 0.025498494505882263
10000 0.024864040315151215

Hypothesis:  tensor([[0.0289],
        [0.9793],
        [0.9762],
        [0.0248]], device='cuda:0')
Correct:  tensor([[0.],
        [1.],
        [1.],
        [0.]], device='cuda:0')
Accuracy:  1.0

종료 코드 0(으)로 완료된 프로세스
