C:\Users\Sehooni\anaconda3\envs\201701013\python.exe D:/딥러닝/201701013/Perceptron&MLP/MLP.py
0 0.7147858738899231
100 0.7041651010513306
200 0.6987249851226807
300 0.6959565877914429
400 0.6945525407791138
500 0.6938416957855225
600 0.6934821009635925
700 0.6933002471923828
800 0.6932082176208496
900 0.6931617259979248
1000 0.6931381225585938
1100 0.6931261420249939
1200 0.6931199431419373
1300 0.6931169033050537
1400 0.6931151151657104
1500 0.693114161491394
1600 0.6931137442588806
1700 0.6931133270263672
1800 0.6931130886077881
1900 0.6931129097938538
2000 0.6931127309799194
2100 0.6931126117706299
2200 0.6931124329566956
2300 0.6931122541427612
2400 0.6931121349334717
2500 0.6931120157241821
2600 0.693111777305603
2700 0.6931116580963135
2800 0.6931114792823792
2900 0.6931113004684448
3000 0.6931111812591553
3100 0.693111002445221
3200 0.6931108236312866
3300 0.6931107044219971
3400 0.6931105852127075
3500 0.6931104063987732
3600 0.6931102275848389
3700 0.6931100487709045
3800 0.6931098699569702
3900 0.6931097507476807
4000 0.6931095719337463
4100 0.693109393119812
4200 0.6931091547012329
4300 0.6931090354919434
4400 0.693108856678009
4500 0.6931086778640747
4600 0.6931085586547852
4700 0.6931083798408508
4800 0.6931081414222717
4900 0.6931079626083374
5000 0.6931078433990479
5100 0.6931076645851135
5200 0.6931074857711792
5300 0.6931073069572449
5400 0.6931071281433105
5500 0.6931068897247314
5600 0.6931067705154419
5700 0.6931065917015076
5800 0.6931064128875732
5900 0.6931062340736389
6000 0.6931060552597046
6100 0.6931058168411255
6200 0.6931056380271912
6300 0.6931054592132568
6400 0.6931052803993225
6500 0.6931051015853882
6600 0.6931049823760986
6700 0.6931047439575195
6800 0.6931045651435852
6900 0.6931043863296509
7000 0.6931041479110718
7100 0.6931039690971375
7200 0.6931037902832031
7300 0.693103551864624
7400 0.6931033730506897
7500 0.6931031346321106
7600 0.6931029558181763
7700 0.6931028366088867
7800 0.6931025981903076
7900 0.6931023597717285
8000 0.6931021809577942
8100 0.6931020021438599
8200 0.6931017637252808
8300 0.6931015849113464
8400 0.6931012868881226
8500 0.693101167678833
8600 0.6931009292602539
8700 0.6931006908416748
8800 0.6931005120277405
8900 0.6931003332138062
9000 0.693100094795227
9100 0.6930999755859375
9200 0.6930996179580688
9300 0.6930993795394897
9400 0.6930992603302002
9500 0.6930990219116211
9600 0.693098783493042
9700 0.6930985450744629
9800 0.6930983066558838
9900 0.6930981278419495
10000 0.6930978298187256

Hypothesis:  tensor([[0.4997],
        [0.5020],
        [0.4981],
        [0.5004]], device='cuda:0')
Correct:  tensor([[0.],
        [1.],
        [0.],
        [1.]], device='cuda:0')
Accuracy:  0.5

종료 코드 0(으)로 완료된 프로세스
